timestamp,protocol,src_ip,dst_ip,src_port,dst_port,length
2025-04-24 15:09:36.984444,UDP,172.20.6.14,149.248.20.104,3074,44998,228
2025-04-24 15:09:36.990266,UDP,149.248.20.104,172.20.6.14,44998,3074,428
2025-04-24 15:09:37.002891,UDP,172.20.6.14,149.248.20.104,3074,44998,228
2025-04-24 15:09:37.005629,UDP,149.248.20.104,172.20.6.14,44998,3074,462
2025-04-24 15:09:37.021507,UDP,172.20.6.14,149.248.20.104,3074,44998,232
2025-04-24 15:09:37.022581,UDP,149.248.20.104,172.20.6.14,44998,3074,435
2025-04-24 15:09:37.038625,UDP,149.248.20.104,172.20.6.14,44998,3074,492
2025-04-24 15:09:37.040193,UDP,172.20.6.14,149.248.20.104,3074,44998,242
2025-04-24 15:09:37.045877,UDP,172.20.6.14,149.248.20.104,3074,44998,197
2025-04-24 15:09:37.052216,UDP,172.20.6.14,149.248.20.104,3074,44998,243
2025-04-24 15:09:37.054673,UDP,149.248.20.104,172.20.6.14,44998,3074,411
2025-04-24 15:09:37.058239,UDP,172.20.6.14,149.248.20.104,3074,44998,202
2025-04-24 15:09:37.064377,UDP,172.20.6.14,149.248.20.104,3074,44998,204
2025-04-24 15:09:37.070730,UDP,172.20.6.14,149.248.20.104,3074,44998,200
2025-04-24 15:09:37.071783,UDP,149.248.20.104,172.20.6.14,44998,3074,457
2025-04-24 15:09:37.087817,UDP,149.248.20.104,172.20.6.14,44998,3074,497
2025-04-24 15:09:37.089224,UDP,172.20.6.14,149.248.20.104,3074,44998,224
2025-04-24 15:09:37.102857,UDP,149.248.20.104,172.20.6.14,44998,3074,529
2025-04-24 15:09:37.105404,UDP,172.20.6.14,149.248.20.104,3074,44998,195
2025-04-24 15:09:37.107656,UDP,172.20.6.14,149.248.20.104,3074,44998,229
2025-04-24 15:09:37.118397,UDP,149.248.20.104,172.20.6.14,44998,3074,423
2025-04-24 15:09:37.126239,UDP,172.20.6.14,149.248.20.104,3074,44998,231
2025-04-24 15:09:37.134933,UDP,149.248.20.104,172.20.6.14,44998,3074,529
2025-04-24 15:09:37.144741,UDP,172.20.6.14,149.248.20.104,3074,44998,272
2025-04-24 15:09:37.151019,UDP,149.248.20.104,172.20.6.14,44998,3074,570
2025-04-24 15:09:37.155991,UDP,172.20.6.14,149.248.20.104,3074,44998,195
2025-04-24 15:09:37.163293,UDP,172.20.6.14,149.248.20.104,3074,44998,227
2025-04-24 15:09:37.167399,UDP,149.248.20.104,172.20.6.14,44998,3074,608
2025-04-24 15:09:37.181885,UDP,172.20.6.14,149.248.20.104,3074,44998,230
2025-04-24 15:09:37.186530,UDP,149.248.20.104,172.20.6.14,44998,3074,546
2025-04-24 15:09:37.198232,UDP,149.248.20.104,172.20.6.14,44998,3074,682
2025-04-24 15:09:37.198549,UDP,172.20.6.14,149.248.20.104,3074,44998,232
2025-04-24 15:09:37.214707,UDP,149.248.20.104,172.20.6.14,44998,3074,481
2025-04-24 15:09:37.217070,UDP,172.20.6.14,149.248.20.104,3074,44998,273
2025-04-24 15:09:37.230248,UDP,149.248.20.104,172.20.6.14,44998,3074,586
